# NAME           	C1B768
# WAVELENGTH_UNIT	nm
# DETECTOR       	photon
# COMPNAME       	C1B768
#
## WAVELENGTH	None	nm
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
6.700000000000000000e+02,0.000000000000000000e+00
6.705000000000000000e+02,0.000000000000000000e+00
6.710000000000000000e+02,0.000000000000000000e+00
6.715000000000000000e+02,0.000000000000000000e+00
6.720000000000000000e+02,0.000000000000000000e+00
6.725000000000000000e+02,0.000000000000000000e+00
6.730000000000000000e+02,0.000000000000000000e+00
6.735000000000000000e+02,0.000000000000000000e+00
6.740000000000000000e+02,0.000000000000000000e+00
6.745000000000000000e+02,0.000000000000000000e+00
6.750000000000000000e+02,0.000000000000000000e+00
6.755000000000000000e+02,0.000000000000000000e+00
6.760000000000000000e+02,1.000000000000000048e-04
6.765000000000000000e+02,5.000000000000000104e-04
6.770000000000000000e+02,1.100000000000000066e-03
6.775000000000000000e+02,2.299999999999999961e-03
6.780000000000000000e+02,3.899999999999999821e-03
6.785000000000000000e+02,6.300000000000000044e-03
6.790000000000000000e+02,9.499999999999999764e-03
6.795000000000000000e+02,1.349999999999999985e-02
6.800000000000000000e+02,1.859999999999999848e-02
6.805000000000000000e+02,2.479999999999999913e-02
6.810000000000000000e+02,3.219999999999999946e-02
6.815000000000000000e+02,4.100000000000000172e-02
6.820000000000000000e+02,5.120000000000000245e-02
6.825000000000000000e+02,6.300000000000000044e-02
6.830000000000000000e+02,7.649999999999999856e-02
6.835000000000000000e+02,9.180000000000000659e-02
6.840000000000000000e+02,1.089999999999999997e-01
6.845000000000000000e+02,1.282999999999999974e-01
6.850000000000000000e+02,1.496000000000000107e-01
6.855000000000000000e+02,1.733000000000000096e-01
6.860000000000000000e+02,1.988999999999999935e-01
6.865000000000000000e+02,2.263999999999999901e-01
6.870000000000000000e+02,2.554000000000000159e-01
6.875000000000000000e+02,2.857999999999999985e-01
6.880000000000000000e+02,3.171999999999999820e-01
6.885000000000000000e+02,3.496000000000000218e-01
6.890000000000000000e+02,3.826999999999999846e-01
6.895000000000000000e+02,4.163000000000000034e-01
