# NAME           	C1M326
# WAVELENGTH_UNIT	nm
# DETECTOR       	photon
# COMPNAME       	C1M326
#
## WAVELENGTH	None	nm
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
2.760000000000000000e+02,0.000000000000000000e+00
2.765000000000000000e+02,0.000000000000000000e+00
2.770000000000000000e+02,0.000000000000000000e+00
2.775000000000000000e+02,0.000000000000000000e+00
2.780000000000000000e+02,0.000000000000000000e+00
2.785000000000000000e+02,0.000000000000000000e+00
2.790000000000000000e+02,0.000000000000000000e+00
2.795000000000000000e+02,1.399999999999999986e-03
2.800000000000000000e+02,5.599999999999999943e-03
2.805000000000000000e+02,1.409999999999999969e-02
2.810000000000000000e+02,2.809999999999999998e-02
2.815000000000000000e+02,4.920000000000000068e-02
2.820000000000000000e+02,7.879999999999999505e-02
2.825000000000000000e+02,1.180999999999999966e-01
2.830000000000000000e+02,1.688000000000000056e-01
2.835000000000000000e+02,2.291999999999999871e-01
2.840000000000000000e+02,2.980999999999999761e-01
2.845000000000000000e+02,3.726999999999999758e-01
2.850000000000000000e+02,4.500000000000000111e-01
2.855000000000000000e+02,5.272999999999999909e-01
2.860000000000000000e+02,6.018999999999999906e-01
2.865000000000000000e+02,6.707999999999999519e-01
2.870000000000000000e+02,7.312999999999999501e-01
2.875000000000000000e+02,7.819000000000000394e-01
2.880000000000000000e+02,8.213000000000000300e-01
2.885000000000000000e+02,8.508000000000000007e-01
2.890000000000000000e+02,8.719000000000000083e-01
2.895000000000000000e+02,8.859000000000000208e-01
2.900000000000000000e+02,8.943999999999999728e-01
2.905000000000000000e+02,8.985999999999999543e-01
2.910000000000000000e+02,9.000000000000000222e-01
2.915000000000000000e+02,9.000000000000000222e-01
2.920000000000000000e+02,9.000000000000000222e-01
2.925000000000000000e+02,9.000000000000000222e-01
2.930000000000000000e+02,9.000000000000000222e-01
2.935000000000000000e+02,9.000000000000000222e-01
2.940000000000000000e+02,9.000000000000000222e-01
2.945000000000000000e+02,9.000000000000000222e-01
2.950000000000000000e+02,9.000000000000000222e-01
2.955000000000000000e+02,9.000000000000000222e-01
2.960000000000000000e+02,9.000000000000000222e-01
2.965000000000000000e+02,9.000000000000000222e-01
2.970000000000000000e+02,9.000000000000000222e-01
2.975000000000000000e+02,9.000000000000000222e-01
2.980000000000000000e+02,9.000000000000000222e-01
2.985000000000000000e+02,9.000000000000000222e-01
2.990000000000000000e+02,9.000000000000000222e-01
2.995000000000000000e+02,9.000000000000000222e-01
3.000000000000000000e+02,9.000000000000000222e-01
3.005000000000000000e+02,9.000000000000000222e-01
3.010000000000000000e+02,9.000000000000000222e-01
3.015000000000000000e+02,9.000000000000000222e-01
3.020000000000000000e+02,9.000000000000000222e-01
3.025000000000000000e+02,9.000000000000000222e-01
3.030000000000000000e+02,9.000000000000000222e-01
3.035000000000000000e+02,9.000000000000000222e-01
3.040000000000000000e+02,9.000000000000000222e-01
3.045000000000000000e+02,9.000000000000000222e-01
3.050000000000000000e+02,9.000000000000000222e-01
3.055000000000000000e+02,9.000000000000000222e-01
3.060000000000000000e+02,9.000000000000000222e-01
3.065000000000000000e+02,9.000000000000000222e-01
3.070000000000000000e+02,9.000000000000000222e-01
3.075000000000000000e+02,9.000000000000000222e-01
3.080000000000000000e+02,9.000000000000000222e-01
3.085000000000000000e+02,9.000000000000000222e-01
3.090000000000000000e+02,9.000000000000000222e-01
3.095000000000000000e+02,9.000000000000000222e-01
3.100000000000000000e+02,9.000000000000000222e-01
3.105000000000000000e+02,9.000000000000000222e-01
3.110000000000000000e+02,9.000000000000000222e-01
3.115000000000000000e+02,9.000000000000000222e-01
3.120000000000000000e+02,9.000000000000000222e-01
3.125000000000000000e+02,9.000000000000000222e-01
3.130000000000000000e+02,9.000000000000000222e-01
3.135000000000000000e+02,9.000000000000000222e-01
3.140000000000000000e+02,9.000000000000000222e-01
3.145000000000000000e+02,9.000000000000000222e-01
3.150000000000000000e+02,9.000000000000000222e-01
3.155000000000000000e+02,9.000000000000000222e-01
3.160000000000000000e+02,9.000000000000000222e-01
3.165000000000000000e+02,9.000000000000000222e-01
3.170000000000000000e+02,9.000000000000000222e-01
3.175000000000000000e+02,9.000000000000000222e-01
3.180000000000000000e+02,9.000000000000000222e-01
3.185000000000000000e+02,9.000000000000000222e-01
3.190000000000000000e+02,9.000000000000000222e-01
3.195000000000000000e+02,9.000000000000000222e-01
3.200000000000000000e+02,9.000000000000000222e-01
3.205000000000000000e+02,9.000000000000000222e-01
3.210000000000000000e+02,9.000000000000000222e-01
3.215000000000000000e+02,9.000000000000000222e-01
3.220000000000000000e+02,9.000000000000000222e-01
3.225000000000000000e+02,9.000000000000000222e-01
3.230000000000000000e+02,9.000000000000000222e-01
3.235000000000000000e+02,9.000000000000000222e-01
3.240000000000000000e+02,9.000000000000000222e-01
3.245000000000000000e+02,9.000000000000000222e-01
3.250000000000000000e+02,9.000000000000000222e-01
3.255000000000000000e+02,9.000000000000000222e-01
3.260000000000000000e+02,9.000000000000000222e-01
3.265000000000000000e+02,9.000000000000000222e-01
3.270000000000000000e+02,9.000000000000000222e-01
3.275000000000000000e+02,9.000000000000000222e-01
3.280000000000000000e+02,9.000000000000000222e-01
3.285000000000000000e+02,9.000000000000000222e-01
3.290000000000000000e+02,9.000000000000000222e-01
3.295000000000000000e+02,9.000000000000000222e-01
3.300000000000000000e+02,9.000000000000000222e-01
3.305000000000000000e+02,9.000000000000000222e-01
3.310000000000000000e+02,9.000000000000000222e-01
3.315000000000000000e+02,9.000000000000000222e-01
3.320000000000000000e+02,9.000000000000000222e-01
3.325000000000000000e+02,9.000000000000000222e-01
3.330000000000000000e+02,9.000000000000000222e-01
3.335000000000000000e+02,9.000000000000000222e-01
3.340000000000000000e+02,9.000000000000000222e-01
3.345000000000000000e+02,9.000000000000000222e-01
3.350000000000000000e+02,9.000000000000000222e-01
3.355000000000000000e+02,9.000000000000000222e-01
3.360000000000000000e+02,9.000000000000000222e-01
3.365000000000000000e+02,9.000000000000000222e-01
3.370000000000000000e+02,9.000000000000000222e-01
3.375000000000000000e+02,9.000000000000000222e-01
3.380000000000000000e+02,9.000000000000000222e-01
3.385000000000000000e+02,9.000000000000000222e-01
3.390000000000000000e+02,9.000000000000000222e-01
3.395000000000000000e+02,9.000000000000000222e-01
3.400000000000000000e+02,9.000000000000000222e-01
3.405000000000000000e+02,9.000000000000000222e-01
3.410000000000000000e+02,9.000000000000000222e-01
3.415000000000000000e+02,9.000000000000000222e-01
3.420000000000000000e+02,9.000000000000000222e-01
3.425000000000000000e+02,9.000000000000000222e-01
3.430000000000000000e+02,9.000000000000000222e-01
3.435000000000000000e+02,9.000000000000000222e-01
3.440000000000000000e+02,9.000000000000000222e-01
3.445000000000000000e+02,9.000000000000000222e-01
3.450000000000000000e+02,9.000000000000000222e-01
3.455000000000000000e+02,9.000000000000000222e-01
3.460000000000000000e+02,9.000000000000000222e-01
3.465000000000000000e+02,9.000000000000000222e-01
3.470000000000000000e+02,9.000000000000000222e-01
3.475000000000000000e+02,9.000000000000000222e-01
3.480000000000000000e+02,9.000000000000000222e-01
3.485000000000000000e+02,9.000000000000000222e-01
3.490000000000000000e+02,9.000000000000000222e-01
3.495000000000000000e+02,9.000000000000000222e-01
3.500000000000000000e+02,9.000000000000000222e-01
3.505000000000000000e+02,9.000000000000000222e-01
3.510000000000000000e+02,9.000000000000000222e-01
3.515000000000000000e+02,9.000000000000000222e-01
3.520000000000000000e+02,9.000000000000000222e-01
3.525000000000000000e+02,9.000000000000000222e-01
3.530000000000000000e+02,9.000000000000000222e-01
3.535000000000000000e+02,9.000000000000000222e-01
3.540000000000000000e+02,9.000000000000000222e-01
3.545000000000000000e+02,9.000000000000000222e-01
3.550000000000000000e+02,9.000000000000000222e-01
3.555000000000000000e+02,9.000000000000000222e-01
3.560000000000000000e+02,9.000000000000000222e-01
3.565000000000000000e+02,9.000000000000000222e-01
3.570000000000000000e+02,9.000000000000000222e-01
3.575000000000000000e+02,9.000000000000000222e-01
3.580000000000000000e+02,9.000000000000000222e-01
3.585000000000000000e+02,9.000000000000000222e-01
3.590000000000000000e+02,9.000000000000000222e-01
3.595000000000000000e+02,9.000000000000000222e-01
3.600000000000000000e+02,9.000000000000000222e-01
3.605000000000000000e+02,9.000000000000000222e-01
3.610000000000000000e+02,9.000000000000000222e-01
3.615000000000000000e+02,8.985999999999999543e-01
3.620000000000000000e+02,8.943999999999999728e-01
3.625000000000000000e+02,8.859000000000000208e-01
3.630000000000000000e+02,8.719000000000000083e-01
3.635000000000000000e+02,8.508000000000000007e-01
3.640000000000000000e+02,8.213000000000000300e-01
3.645000000000000000e+02,7.819000000000000394e-01
3.650000000000000000e+02,7.312999999999999501e-01
3.655000000000000000e+02,6.707999999999999519e-01
3.660000000000000000e+02,6.018999999999999906e-01
3.665000000000000000e+02,5.272999999999999909e-01
3.670000000000000000e+02,4.500000000000000111e-01
3.675000000000000000e+02,3.726999999999999758e-01
3.680000000000000000e+02,2.980999999999999761e-01
3.685000000000000000e+02,2.291999999999999871e-01
3.690000000000000000e+02,1.688000000000000056e-01
3.695000000000000000e+02,1.180999999999999966e-01
3.700000000000000000e+02,7.879999999999999505e-02
3.705000000000000000e+02,4.920000000000000068e-02
3.710000000000000000e+02,2.809999999999999998e-02
3.715000000000000000e+02,1.409999999999999969e-02
3.720000000000000000e+02,5.599999999999999943e-03
3.725000000000000000e+02,1.399999999999999986e-03
3.730000000000000000e+02,0.000000000000000000e+00
3.735000000000000000e+02,0.000000000000000000e+00
3.740000000000000000e+02,0.000000000000000000e+00
3.745000000000000000e+02,0.000000000000000000e+00
3.750000000000000000e+02,0.000000000000000000e+00
3.755000000000000000e+02,0.000000000000000000e+00
3.760000000000000000e+02,0.000000000000000000e+00
