# NAME           	C1B916
# WAVELENGTH_UNIT	nm
# DETECTOR       	photon
# COMPNAME       	C1B916
#
## WAVELENGTH	None	nm
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
8.370000000000000000e+02,0.000000000000000000e+00
8.375000000000000000e+02,1.000000000000000048e-04
8.380000000000000000e+02,2.999999999999999737e-04
8.385000000000000000e+02,5.999999999999999474e-04
8.390000000000000000e+02,1.000000000000000021e-03
8.395000000000000000e+02,1.600000000000000077e-03
8.400000000000000000e+02,2.399999999999999790e-03
8.405000000000000000e+02,3.399999999999999811e-03
8.410000000000000000e+02,4.599999999999999922e-03
8.415000000000000000e+02,6.199999999999999782e-03
8.420000000000000000e+02,8.000000000000000167e-03
8.425000000000000000e+02,1.020000000000000073e-02
8.430000000000000000e+02,1.280000000000000061e-02
8.435000000000000000e+02,1.580000000000000154e-02
8.440000000000000000e+02,1.909999999999999892e-02
8.445000000000000000e+02,2.299999999999999961e-02
8.450000000000000000e+02,2.730000000000000135e-02
8.455000000000000000e+02,3.209999999999999659e-02
8.460000000000000000e+02,3.740000000000000269e-02
8.465000000000000000e+02,4.329999999999999821e-02
8.470000000000000000e+02,4.979999999999999705e-02
8.475000000000000000e+02,5.670000000000000040e-02
8.480000000000000000e+02,6.410000000000000420e-02
8.485000000000000000e+02,7.199999999999999456e-02
8.490000000000000000e+02,8.029999999999999638e-02
8.495000000000000000e+02,8.899999999999999578e-02
8.500000000000000000e+02,9.800000000000000377e-02
8.505000000000000000e+02,1.073999999999999955e-01
8.510000000000000000e+02,1.170999999999999958e-01
8.515000000000000000e+02,1.270999999999999908e-01
8.520000000000000000e+02,1.373999999999999944e-01
8.525000000000000000e+02,1.477999999999999869e-01
8.530000000000000000e+02,1.585000000000000020e-01
8.535000000000000000e+02,1.693000000000000060e-01
8.540000000000000000e+02,1.802999999999999881e-01
8.545000000000000000e+02,1.913999999999999868e-01
8.550000000000000000e+02,2.025000000000000133e-01
8.555000000000000000e+02,2.137999999999999901e-01
8.560000000000000000e+02,2.250000000000000056e-01
